Índice de Precios al Consumidor con cobertura nacional. Resultados por región,,,,,,
Ponderaciones de la canasta según divisiones a diciembre de 2016,,,,,,
,,,,,,
Divisiones,GBA,Pampeana,NEA,NOA,Cuyo,Patagonia
,,,,,,
,,,,,,
Alimentos y bebidas no alcohólicas,0.234,0.286,0.353,0.347,0.284,0.274
Bebidas alcohólicas y tabaco,0.033,0.038,0.036,0.031,0.036,0.035
Prendas de vestir y calzado,0.085,0.104,0.116,0.124,0.114,0.128
"Vivienda, agua, electricidad, gas y otros combustibles",0.105,0.087,0.081,0.07,0.089,0.101
Equipamiento y mantenimiento del hogar,0.063,0.063,0.078,0.061,0.063,0.065
Salud,0.088,0.082,0.053,0.063,0.074,0.05
Transporte,0.116,0.104,0.096,0.084,0.121,0.134
Comunicaciones,0.028,0.029,0.028,0.026,0.025,0.032
Recreación y cultura,0.075,0.074,0.062,0.059,0.067,0.078
Educación,0.03,0.016,0.014,0.02,0.022,0.021
Restaurantes y hoteles,0.108,0.081,0.05,0.08,0.068,0.051
Bienes y servicios varios,0.036,0.036,0.033,0.034,0.036,0.031
,,,,,,
Importancia relativa de la región en el total nacional,0.4467,0.3419,0.0451,0.0688,0.0518,0.0457
,,,,,,
Nota: los totales por suma pueden no coincidir por redondeo en las cifras parciales.,,,,,,
,,,,,,
Fuente: INDEC.,,,,,,
,,,,,,
Índice de Precios al Consumidor con cobertura nacional. Resultados por región,,,,,,
Proporción de bienes incluidos en las ponderaciones de la canasta según divisiones a diciembre de 2016,,,,,,
,,,,,,
Divisiones,GBA,Pampeana,NEA,NOA,Cuyo,Patagonia
,,,,,,
,,,,,,
Alimentos y bebidas no alcohólicas,1,1,1,1,1,1
Bebidas alcohólicas y tabaco,1,1,1,1,1,1
Prendas de vestir y calzado,0.964,0.986,0.988,0.987,0.982,0.989
"Vivienda, agua, electricidad, gas y otros combustibles",0.074,0.108,0.19,0.165,0.129,0.073
Equipamiento y mantenimiento del hogar,0.683,0.734,0.812,0.729,0.739,0.812
Salud,0.449,0.583,0.642,0.633,0.673,0.532
Transporte,0.589,0.769,0.771,0.688,0.781,0.797
Comunicaciones,0.027,0.018,0.018,0.032,0.026,0.008
Recreación y cultura,0.51,0.489,0.57,0.549,0.513,0.568
Educación,0,0,0,0,0,0
Restaurantes y hoteles,0.254,0.368,0.447,0.472,0.283,0.337
Bienes y servicios varios,0.555,0.671,0.762,0.772,0.662,0.678
,,,,,,
,,,,,,
"Nota: La proporción de servicios se obtiene por diferencia. Por ejemplo, para la división Alimentos y bebidas no alcohólicas de la región GBA a diciembre 2016 el 100% de su peso o ponderador está compuesto por bienes, mientras que para la división Vivienda, agua, electricidad y otros combustibles solo el 7,4% y el restante 92,6% corresponden a servicios.",,,,,,
,,,,,,
"Fuente: INDEC, Dirección de Índices de Precios de Consumo.",,,,,,
